"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"ec01040","Biosynthesis of unsaturated fatty acids","3/18","74/5704",0.00148712261036902,0.0297424522073804,0.021915491100175,"C06428/C03242/C16525",3
"ec00600","Sphingolipid metabolism","2/18","27/5704",0.00315094900733873,0.0315094900733873,0.0232175190014433,"C00195/C00550",2
"ec00121","Secondary bile acid biosynthesis","2/18","36/5704",0.00556132837072506,0.0370755224715004,0.0273188060316319,"C17647/C00695",2
"ec00120","Primary bile acid biosynthesis","2/18","47/5704",0.00934879922453966,0.0467439961226983,0.0344429445114619,"C00187/C00695",2
